task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
130	be/a7104c	3047719	genedescription (9)	COMPLETED	0	2024-08-26 18:58:18.488	4.2s	719ms	290.9%	10 MB	13.4 MB	18.1 MB	8.4 MB
131	13/0935ad	3047927	genedescription (10)	COMPLETED	0	2024-08-26 18:58:22.652	4.4s	1.2s	173.0%	74 MB	398.9 MB	17 MB	7.3 MB
132	f4/7a4537	3048186	genedescription (11)	COMPLETED	0	2024-08-26 18:58:27.060	4.1s	737ms	286.4%	9.9 MB	13.4 MB	17.9 MB	8.2 MB
133	9a/3d6f41	3048396	genedescription (12)	COMPLETED	0	2024-08-26 18:58:31.157	3.5s	1.5s	143.6%	73 MB	398.7 MB	20.9 MB	11.2 MB
134	15/57dd80	3048656	genedescription (13)	COMPLETED	0	2024-08-26 18:58:34.670	4.8s	887ms	240.6%	11.7 MB	57.1 MB	18.4 MB	8.7 MB
135	6b/8732bd	3048864	genedescription (14)	COMPLETED	0	2024-08-26 18:58:39.486	3.8s	818ms	260.2%	9.9 MB	13.4 MB	18.3 MB	8.6 MB
136	e9/01b3a6	3049074	genedescription (15)	COMPLETED	0	2024-08-26 18:58:43.332	3.7s	1.2s	181.5%	37.9 MB	365.9 MB	17.5 MB	7.8 MB
137	26/f84cae	3049285	genedescription (16)	COMPLETED	0	2024-08-26 18:58:47.029	4s	871ms	242.8%	11.7 MB	59.3 MB	17.1 MB	7.3 MB
138	af/b7b752	3049494	genedescription (17)	COMPLETED	0	2024-08-26 18:58:51.000	4.4s	1.2s	185.1%	76.8 MB	399.6 MB	17.3 MB	7.6 MB
139	56/65cb09	3049755	genedescription (18)	COMPLETED	0	2024-08-26 18:58:55.364	3.5s	793ms	264.6%	8.4 MB	12 MB	17.3 MB	7.5 MB
140	ff/860135	3049964	genedescription (19)	COMPLETED	0	2024-08-26 18:58:58.830	3.9s	670ms	314.7%	10 MB	13.4 MB	17.1 MB	7.4 MB
141	1a/2395bc	3050172	genedescription (20)	COMPLETED	0	2024-08-26 18:59:02.755	4.9s	933ms	226.3%	10 MB	13.4 MB	17.5 MB	7.8 MB
142	a4/cb9650	3050381	genedescription (21)	COMPLETED	0	2024-08-26 18:59:07.674	3.5s	935ms	229.8%	9.8 MB	13.4 MB	17.8 MB	8 MB
143	da/ef35f7	3050589	genedescription (22)	COMPLETED	0	2024-08-26 18:59:11.144	4.2s	1.4s	158.7%	72.6 MB	398.9 MB	18 MB	8.3 MB
144	98/dd2de6	3050848	genedescription (23)	COMPLETED	0	2024-08-26 18:59:15.326	3.7s	1.2s	170.9%	73.1 MB	398.6 MB	17.1 MB	7.3 MB
145	66/893650	3051112	genedescription (24)	COMPLETED	0	2024-08-26 18:59:19.038	4.4s	641ms	325.2%	10.1 MB	13.4 MB	17.9 MB	8.2 MB
146	f3/f87d1b	3051320	genedescription (25)	COMPLETED	0	2024-08-26 18:59:23.420	4.6s	740ms	287.2%	10 MB	13.4 MB	16.7 MB	7 MB
147	91/668879	3051529	genedescription (26)	COMPLETED	0	2024-08-26 18:59:27.999	2.9s	684ms	306.7%	10 MB	13.4 MB	17.1 MB	7.4 MB
148	34/03aa7a	3051738	genedescription (27)	COMPLETED	0	2024-08-26 18:59:30.909	4.4s	774ms	281.2%	10.1 MB	13.4 MB	22.9 MB	13.2 MB
149	ec/513564	3051946	genedescription (28)	COMPLETED	0	2024-08-26 18:59:35.342	6s	1.6s	136.4%	72.3 MB	398.7 MB	18.4 MB	8.6 MB
150	29/c9e5ce	3052206	genedescription (29)	COMPLETED	0	2024-08-26 18:59:41.394	3.7s	799ms	257.1%	17.4 MB	340 MB	17.1 MB	7.4 MB
151	aa/4aba4f	3052417	genedescription (30)	COMPLETED	0	2024-08-26 18:59:45.145	5.1s	1.2s	182.2%	76.7 MB	399.6 MB	17 MB	7.3 MB
